,is.python.main,other.lang.None,other.lang.Java,other.lang.JavaScript,other.lang.C/C++,other.lang.PHP,other.lang.C#,other.lang.Ruby,other.lang.Bash / Shell,other.lang.Objective-C,other.lang.Go,other.lang.Visual Basic,other.lang.Scala,other.lang.SQL,other.lang.Kotlin,other.lang.R,other.lang.Swift,other.lang.Clojure,other.lang.Perl,other.lang.Rust,other.lang.Groovy,other.lang.TypeScript,other.lang.CoffeeScript,other.lang.HTML/CSS,other.lang.Other,python.years,years.of.coding,main.purposes,other.purposes.Educational purposes,other.purposes.Data analysis,other.purposes.DevOps / System administration / Writing automation scripts,other.purposes.Software testing / Writing automated tests,other.purposes.Software prototyping,other.purposes.Web development,other.purposes.Machine learning,other.purposes.Mobile development,other.purposes.Desktop development,other.purposes.Computer graphics,other.purposes.Network programming,other.purposes.Game development,other.purposes.Multimedia applications development,other.purposes.Embedded development,other.purposes.Programming of web parsers / scrapers / crawlers,other.purposes.Other,how.involved.Computer graphics,how.involved.Data analysis,how.involved.DevOps / System administration / Writing automation scripts,how.involved.Educational purposes,how.involved.Software testing / Writing automated tests,how.involved.Web development,how.involved.Network programming,how.involved.Desktop development,how.involved.Machine learning,how.involved.Software prototyping,how.involved.Programming of web parsers / scrapers / crawlers,how.involved.Embedded development,how.involved.Mobile development,how.involved.Game development,how.involved.Multimedia applications development,use.python.most,are.you.datascientist,python.version.most,python2.version.most,python3.version.most,python.version.upgrade.I don’t update,python.version.upgrade.Somebody else manages Python updates for me,python.version.upgrade.Python_org,python.version.upgrade.Build from source,python.version.upgrade.Automatic upgrade via cloud provider,python.version.upgrade.Anaconda,python.version.upgrade.ActivePython,python.version.upgrade.Intel Distribution for Python,"python.version.upgrade.OS-provided Python (via apt-get, yum, homebrew, etc_)",python.version.upgrade.pyenv,python.version.upgrade.pythonz,python.version.upgrade.I use Docker containers,python.version.upgrade.Other,isolate.environments.None,isolate.environments.Virtualenv,isolate.environments.Pipenv,isolate.environments.Poetry,isolate.environments.Conda,isolate.environments.Docker,isolate.environments.Vagrant  / virtual machines,isolate.environments.Other,web.frameworks.None,web.frameworks.Django,web.frameworks.web2py,web.frameworks.Bottle,web.frameworks.CherryPy ,web.frameworks.Flask ,web.frameworks.Hug,web.frameworks.Pyramid ,web.frameworks.Tornado,web.frameworks.Falcon,web.frameworks.FastAPI,web.frameworks.Other,data.frameworks.None,data.frameworks.PyTorch,data.frameworks.NumPy,data.frameworks.SciPy,data.frameworks.Pandas,data.frameworks.Matplotlib,data.frameworks.Seaborn,data.frameworks.SciKit-Learn,data.frameworks.Keras,data.frameworks.TensorFlow,data.frameworks.Theano,data.frameworks.NLTK,data.frameworks.MXNet,data.frameworks.Gensim,data.frameworks.Other,other.frameworks.None,other.frameworks.Requests,other.frameworks.aiohttp,other.frameworks.PyQT,other.frameworks.PyGTK,other.frameworks.wxPython,other.frameworks.Pillow,other.frameworks.Tkinter,other.frameworks.Pygame,other.frameworks.Twisted,other.frameworks.Asyncio,other.frameworks.Kivy,other.frameworks.Six,other.frameworks.Scrapy,other.frameworks.Other,cloud.platform.None,cloud.platform.Google Cloud Platform,cloud.platform.AWS,cloud.platform.Microsoft Azure,cloud.platform.Rackspace,cloud.platform.Heroku,cloud.platform.DigitalOcean,cloud.platform.Linode,cloud.platform.PythonAnywhere,cloud.platform.OpenShift,cloud.platform.OpenStack,cloud.platform.Other,run.in.cloud.None of the following,run.in.cloud.In virtual machines,run.in.cloud.Within containers,run.in.cloud.On a Platform-as-a-Service (such as Heroku or Google App Engine),run.in.cloud.Serverless (such as AWS Lambda or Cloud Functions),run.in.cloud.Other,develop.for.cloud.None of the following,develop.for.cloud.With local system interpreter,develop.for.cloud.Locally with virtualenv (or similar),develop.for.cloud.In Docker containers,develop.for.cloud.In virtual machines,develop.for.cloud.In remote development environments,develop.for.cloud.Directly in the production environment,develop.for.cloud.Other,devenv.os.Windows,devenv.os.Linux,devenv.os.macOS,devenv.os.BSD,devenv.os.Other,unittesting.None,unittesting.pytest,unittesting.nose,unittesting.unittest,unittesting.doctest,unittesting.Tox,unittesting.Hypothesis,unittesting.mock,unittesting.Other,orm.No database development,orm.Raw SQL,orm.Django ORM,orm.SQLAlchemy,orm.Peewee,orm.Dejavu,orm.PonyORM,orm.SQLObject,orm.Tortoise ORM,orm.Other,database.None,database.DB2,database.MS SQL Server,database.MySQL,database.Oracle Database,database.PostgreSQL,database.SQLite,database.Cassandra,database.Couchbase,database.HBase,database.MongoDB,database.Neo4j,database.Redis,database.Amazon Redshift,database.h2,database.Other,bigdata.None,bigdata.Apache Beam,bigdata.Apache Flink,bigdata.Apache Hadoop/MapReduce,bigdata.Apache Hive,bigdata.Apache Samza,bigdata.Apache Kafka,bigdata.Apache Spark,bigdata.Apache Tez,bigdata.Dask,bigdata.ClickHouse,bigdata.Other,ci.None,ci.Jenkins / Hudson,ci.TeamCity,ci.Bamboo,ci.Travis CI,ci.CircleCI,ci.CruiseControl,ci.Gitlab CI,ci.AppVeyor,ci.Other,configuration.management.None,configuration.management.Salt,configuration.management.Puppet,configuration.management.Chef,configuration.management.Ansible,configuration.management.Custom solution,configuration.management.Other,ide.main,ide.editor.None,ide.editor.Other,ide.editor.PyCharm Professional Edition,ide.editor.PyCharm Community Edition,ide.editor.Sublime Text,ide.editor.Vim,ide.editor.Atom,ide.editor.VS Code,ide.editor.Eclipse + Pydev,ide.editor.JupyterLab,ide.editor.Jupyter Notebook,ide.editor.IntelliJ IDEA,ide.editor.NotePad++,ide.editor.IDLE,ide.editor.Emacs,ide.editor.Python Tools for Visual Studio (PTVS),ide.editor.Spyder,several.projects,first.learn.about.main.ide,how.often.use.main.ide,missing.features.main.ide,nps.main.ide,job.team,team.size,employment.status,company.size,job.role.DBA,job.role.Architect,job.role.QA engineer,job.role.Developer / Programmer,job.role.Technical writer,job.role.Technical support,job.role.Data analyst,job.role.Business analyst,job.role.Team lead,job.role.Product manager,job.role.CIO / CEO / CTO,job.role.Systems analyst,job.role.Other,age,country.live
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Yes,,Java,JavaScript,C/C++,PHP,C#,Ruby,Bash / Shell,,Go,Visual Basic,,SQL,Kotlin,R,,,,Rust,,,,HTML/CSS,Other,3–5 years,Less than 1 year,"For personal, educational  or side projects",Educational purposes,Data analysis,DevOps / System administration / Writing automation scripts,Software testing / Writing automated tests,Software prototyping,,Machine learning,,Desktop development,Computer graphics,,Game development,Multimedia applications development,Embedded development,Programming of web parsers / scrapers / crawlers,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,"No, I use Python as a secondary language",,Java,JavaScript,,,,,,,,,,SQL,,,,,,,,,,HTML/CSS,,Less than 1 year,Less than 1 year,"For personal, educational  or side projects",,,,,,,Machine learning,,,,,,,,Programming of web parsers / scrapers / crawlers,,,,,,,,,,Machine learning,,Programming of web parsers / scrapers / crawlers,,,,,Programming of web parsers / scrapers / crawlers,No,Python 3,,Python 3_8,,,Python_org,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Yes,,,JavaScript,,,,,,,,,,SQL,,,,,,,,,,HTML/CSS,,1–2 years,Less than 1 year,"For personal, educational  or side projects",Educational purposes,,,,,Web development,,,,,,,,,Programming of web parsers / scrapers / crawlers,,,,,Educational purposes,,Web development,,,,,Programming of web parsers / scrapers / crawlers,,,,,Educational purposes,,Python 3,,Python 3_8,,,,,,,,,"OS-provided Python (via apt-get, yum, homebrew, etc_)",,,,,,Virtualenv,Pipenv,,,,,,,,,,,Flask ,,,,,,,None,,,,,,,,,,,,,,,,Requests,,,,,Pillow,,,,,,,Scrapy,,,,,,,Heroku,,Linode,,,,,,,,On a Platform-as-a-Service (such as Heroku or Google App Engine),,,,,Locally with virtualenv (or similar),,,,,,,Linux,,,,None,,,,,,,,,,Raw SQL,,SQLAlchemy,,,,,,,,,,,,PostgreSQL,SQLite,,,,MongoDB,,,,,,None,,,,,,,,,,,,None,,,,,,,,,,None,,,,,,,VS Code,,,,,Sublime Text,,,,,,,,,,,,,"Yes, I work on many different projects",Search engines,Daily,"No, it has all the features I need",10.0,Work on your own project(s) independently,,Freelancer (a person pursuing a profession without a long-term commitment to any one employer),,,,,Developer / Programmer,,,,,,,,,,30–39,France
1122,Yes,,,,C/C++,,,,,,,,,,,,,,,,,,,,,3–5 years,3–5 years,Both for work and personal,,Data analysis,,,Software prototyping,,Machine learning,,,,Network programming,,,,Programming of web parsers / scrapers / crawlers,,,Data analysis,,,,,Network programming,,Machine learning,Software prototyping,Programming of web parsers / scrapers / crawlers,,,,,Machine learning,No,Python 2,Python 2_7,,,,,,,,,,,,,I use Docker containers,,,,,,,Docker,,,None,,,,,,,,,,,,,PyTorch,NumPy,SciPy,Pandas,Matplotlib,,SciKit-Learn,Keras,TensorFlow,,,,,,,Requests,,,,,,,Pygame,Twisted,,,Six,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,Linux,,,,None,,,,,,,,,No database development,,,,,,,,,,,,,,,PostgreSQL,,,,,MongoDB,,,,,,None,,,,,,,,,,,,None,,,,,,,,,,None,,,,,,,Other,,,,,,,Atom,,,,,,,,,,Spyder,"Yes, I work on one main and several side projects",Other,Daily,Yes – Please list:,5.0,Work in a team,2-7 people,Partially employed by a company / organization,2–10,,,,Developer / Programmer,,,,,,,,,,30–39,United Kingdom
2065,Yes,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Yes,,,JavaScript,,PHP,,,Bash / Shell,,,,,SQL,Kotlin,,,,,,,,,HTML/CSS,,11+ years,11+ years,For work,,,DevOps / System administration / Writing automation scripts,,,Web development,,,Desktop development,,,,,,Programming of web parsers / scrapers / crawlers,,,,DevOps / System administration / Writing automation scripts,,,Web development,,Desktop development,,,Programming of web parsers / scrapers / crawlers,,,,,Web development,,Python 3,,Python 3_6,I don’t update,,,,,,,,,,,,,,Virtualenv,,,,,,,,Django,,,,Flask ,,,,,FastAPI,,None,,,,,,,,,,,,,,,,Requests,,,,wxPython,Pillow,,Pygame,,,,,Scrapy,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,Linux,,,,None,,,,,,,,,,Raw SQL,Django ORM,SQLAlchemy,,,,,,,,,MS SQL Server,MySQL,,PostgreSQL,,,,,,,,,,,None,,,,,,,,,,,,None,,,,,,,,,,None,,,,,,,PyCharm Professional Edition,,,,,,Vim,Atom,VS Code,,,,,NotePad++,,,,,"Yes, I work on many different projects",Friend / Colleague,Daily,"No, it has all the features I need",10.0,Work on your own project(s) independently,,Fully employed by a company / organization,2–10,,Architect,,Developer / Programmer,,,,,,,,,,30–39,Italy
2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
